Year,Grazing_Treatment,Block,Plot,Original_Plot,Sample,Class,Order,Family,Genus,Species,Notes,IDer,Date
2020,NG,B1,1,1,1,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KW,1/26/21
2020,NG,B1,1,1,2,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KW,1/26/21
2020,NG,B1,1,1,3,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KW,1/26/21
2020,NG,B1,1,1,4,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,KW,1/26/21
2020,NG,B1,1,1,5,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,KW,1/26/21
2020,NG,B1,1,1,6,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KW,1/26/21
2020,NG,B1,1,1,7,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KW,1/26/21
2020,NG,B1,1,1,8,Insecta,Orthoptera,Acrididae,Melanoplus,gladstoni,,KW,1/26/21
2020,NG,B1,1,1,9,Insecta,Orthoptera,Acrididae,Amphiturnus,coloradus,1st Instar difficult ID,KW,1/26/21
2020,NG,B1,1,1,10,Insecta,Hemiptera,Cicadellidae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,11,Insecta,Hemiptera,Cicadellidae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,12,Insecta,Hemiptera,Cicadellidae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,13,Insecta,Hemiptera,Cicadellidae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,14,Insecta,Hemiptera,Cicadellidae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,15,Insecta,Coleoptera,Chrysomelidae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,16,Insecta,Hemiptera,Cicadellidae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,17,Insecta,Coleoptera,Staphylindae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,18,Insecta,Coleoptera,Staphylindae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,19,Insecta,Coleoptera,Staphylindae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,20,Insecta,Coleoptera,Staphylindae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,21,Insecta,Coleoptera,Staphylindae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,22,Insecta,Coleoptera,Staphylindae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,23,Insecta,Coleoptera,Staphylindae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,24,Insecta,Hemiptera,Cicadellidae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,25,Insecta,Hymenoptera,Platygastridae,NA,NA,,KW,1/26/21
2020,NG,B1,1,1,26,Insecta,Hemiptera,Cicadellidae,NA,NA,,KW,1/26/21
2020,NG,B1,2,2,1,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,3/10/21
2020,NG,B1,2,2,2,Insecta,Orthoptera,Acrididae,Opeia,obscura,,WM,3/10/21
2020,NG,B1,2,2,3,Insecta,Orthoptera,Acrididae,Opeia,obscura,partial,WM,3/10/21
2020,NG,B1,2,2,4,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,5,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,NA,NA,NA,NA,NA,NA,Body Parts,WM,3/10/21
2020,NG,B1,2,2,6,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,7,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,8,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,9,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,10,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,11,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,12,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,13,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,14,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,15,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,16,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,18,Insecta,Coleoptera,Chrysomelidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,19,Insecta,Coleoptera,Chrysomelidae,NA,NA,,WM,3/10/21
2020,NG,B1,2,2,17,Insecta,Hemiptera,Cicadellidae,NA,NA,very small,WM,3/10/21
2020,NG,B1,3,3,9,Insecta,Coleoptera,Chrysomelidae,NA,NA,,TB,3/2/21
2020,NG,B1,3,3,1,Arachnida,Araneae,Thomisidae,NA,NA,,TB,4/6/21
2020,NG,B1,3,3,8,Insecta,Hemiptera,Cicadellidae,NA,NA,,TB,3/2/21
2020,NG,B1,3,3,2,Arachnida,Araneae,Thomisidae,NA,NA,,TB,4/6/21
2020,NG,B1,3,3,7,Insecta,Hymenoptera,Platygastridae,NA,NA,,TB,3/2/21
2020,NG,B1,3,3,3,Insecta,Orthoptera,Acrididae,Melanoplus,infantilis,,TB,4/6/21
2020,NG,B1,3,3,6,Insecta,Diptera,Agromyzidae,NA,NA,,TB,3/2/21
2020,NG,B1,3,3,4,Insecta,Orthoptera,Acrididae,Melanoplus,packardi,,TB,4/6/21
2020,NG,B1,3,3,5a,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,"both marked sample 5, cannot equate to weight ",TB,3/2/21
2020,NG,B1,3,3,5b,Insecta,Orthoptera,Acrididae,Melanoplus,bruneri,"both marked sample 5, cannot equate to weight ",TB,4/6/21
2020,NG,B1,3,3,6,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,TB,3/2/21
2020,LG,B1,9,4,1,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/11/21
2020,HG,B1,14,4,1,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,KB,5/20/21
2020,LG,B1,9,4,2,Insecta,Orthoptera,Acrididae,Opeia,obscura,,WM,5/11/21
2020,HG,B1,14,4,2,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KB,5/20/21
2020,LG,B1,9,4,3,Insecta,Orthoptera,Acrididae,Melanoplus,gladstoni,,WM,5/11/21
2020,HG,B1,14,4,3,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KB,5/20/21
2020,LG,B1,9,4,4,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,WM,5/11/21
2020,HG,B1,14,4,4,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KB,5/20/21
2020,LG,B1,9,4,5,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/11/21
2020,HG,B1,14,4,5,Insecta,Orthoptera,Acrididae,Melanoplus,gladstoni,,KB,5/20/21
2020,LG,B1,9,4,6,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,WM,5/11/21
2020,HG,B1,14,4,6,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,KB,5/20/21
2020,LG,B1,9,4,7,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,5/11/21
2020,HG,B1,14,4,7,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,KB,5/20/21
2020,LG,B1,9,4,8,Insecta,Hymenoptera,Formicidae,NA,NA,,WM,5/11/21
2020,HG,B1,14,4,8,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,KB,5/20/21
2020,LG,B1,9,4,9,Arachnida,Araneae,Thomisidae,NA,NA,,WM,5/11/21
2020,HG,B1,14,4,9,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,KB,5/20/21
2020,HG,B1,14,4,10,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,11,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,12,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,13,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,14,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,15,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,16,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,17,Insecta,Coleoptera,Latridiidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,18,Insecta,Coleoptera,Latridiidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,19,Insecta,Coleoptera,Latridiidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,20,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,14,4,21,Insecta,Hymenoptera,Platygastridae,NA,NA,,KB,5/20/21
2020,NG,B1,4,4,25,Insecta,Hymenoptera,Formicidae,NA,NA,1/2 insect,JB,1/29/21
2020,NG,B1,4,4,26,Insecta,Coleoptera,Chrysomelidae,NA,NA,,JB,1/29/21
2020,NG,B1,4,4,27,Insecta,Hemiptera,Cicadellidae,NA,NA,,JB,1/29/21
2020,NG,B1,4,4,28,Insecta,Coleoptera,Latridiidae,NA,NA,,JB,1/29/21
2020,NG,B1,4,4,29,Insecta,Hemiptera,Cicadellidae,NA,NA,,JB,1/29/21
2020,NG,B1,4,4,30,Insecta,Hymenoptera,Formicidae,NA,NA,,JB,1/29/21
2020,NG,B1,4,4,31,Insecta,Hemiptera,Cicadellidae,NA,NA,missign head,JB,1/29/21
2020,NG,B1,4,4,32,Insecta,Hemiptera,Scutelleridae,NA,NA,little pieces,JB,1/29/21
2020,NG,B1,4,4,33,Insecta,Hemiptera,Cicadellidae,NA,NA,head only,JB,1/29/21
2020,NG,B1,4,4,34,Insecta,Coleoptera,Latridiidae,NA,NA,,JB,1/29/21
2020,NG,B1,4,4,35,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,1/29/21
2020,NG,B1,4,4,37,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,Missing legs,JB,2/26/21
2020,NG,B1,4,4,38,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,NG,B1,4,4,39,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,JB,2/26/21
2020,NG,B1,4,4,40,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,JB,2/26/21
2020,HG,B3,44,4,41,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,NG,B1,5,5,1,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,2/10/21
2020,NG,B1,5,5,2,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,2/10/21
2020,NG,B1,5,5,3,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,2/10/21
2020,NG,B1,5,5,4,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,2/10/21
2020,NG,B1,5,5,5,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,2/10/21
2020,NG,B1,5,5,6,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,2/10/21
2020,NG,B1,5,5,7,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,2/10/21
2020,NG,B1,5,5,8,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,2/10/21
2020,NG,B1,5,5,9,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,2/10/21
2020,NG,B1,5,5,10,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,2/10/21
2020,NG,B1,5,5,11,Insecta,Coleoptera,Chrysomelidae,NA,NA,,WM,2/10/21
2020,NG,B1,5,5,NA,NA,NA,NA,NA,NA,Body Parts,WM,2/10/21
2020,NG,B1,5,5,12,Insecta,Diptera,NA,NA,NA,,WM,2/10/21
2020,LG,B1,6,1,1,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,WM,1/27/21
2020,LG,B1,6,1,2,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,WM,1/27/21
2020,LG,B1,6,1,3,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,1/27/21
2020,LG,B1,6,1,4,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,2nd/3rd Instar,WM,1/27/21
2020,LG,B1,6,1,5,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,WM,1/27/21
2020,LG,B1,6,1,6,Arachnida,Araneae,Thomisidae,NA,NA,,WM,1/27/21
2020,LG,B1,6,1,7,Insecta,Coleoptera,Curculionidae,NA,NA,,WM,1/27/21
2020,LG,B1,6,1,8,Insecta,Hemiptera,Scutelleridae,NA,NA,,WM,1/27/21
2020,LG,B1,6,1,9,Arachnida,Araneae,Lycosidae,NA,NA,,WM,1/27/21
2020,LG,B1,6,1,10,Arachnida,Araneae,Lycosidae,NA,NA,Partial-missing legs,WM,1/27/21
2020,LG,B1,6,1,11,Insecta,Diptera,Muscidae,NA,NA,,WM,1/27/21
2020,LG,B1,6,1,12,Insecta,Diptera,Agromyzidae,NA,NA,,WM,1/27/21
2020,LG,B1,6,1,13,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,1/27/21
2020,LG,B1,6,1,14,Insecta,Coleoptera,Latridiidae,NA,NA,,WM,1/27/21
2020,LG,B1,6,1,NA,Insecta,NA,NA,NA,NA,Body Parts,WM,1/27/21
2020,LG,B1,7,2,1,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,WM,5/5/21
2020,LG,B1,7,2,2,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,WM,5/5/21
2020,LG,B1,7,2,3,Insecta,Orthoptera,Acrididae,Opeia,obscura,,WM,5/5/21
2020,LG,B1,7,2,4,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/5/21
2020,LG,B1,7,2,5,Insecta,Orthoptera,Acrididae,Arphia,pseudonietana,,WM,5/5/21
2020,LG,B1,7,2,6,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/5/21
2020,LG,B1,7,2,7,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/5/21
2020,LG,B1,7,2,8,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,WM,5/5/21
2020,LG,B1,7,2,9,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/5/21
2020,LG,B1,7,2,10,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/5/21
2020,LG,B1,7,2,11,Insecta,Orthoptera,Acrididae,Melanoplus,bruneri,,WM,5/5/21
2020,LG,B1,7,2,12,Insecta,Orthoptera,Acrididae,Melanoplus,bruneri,,WM,5/5/21
2020,LG,B1,7,2,13,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,5/5/21
2020,LG,B1,7,2,14,Arachnida,Araneae,Salticide,NA,NA,,WM,5/5/21
2020,LG,B1,7,2,15,Arachnida,Araneae,Thomisidae,NA,NA,,WM,5/5/21
2020,LG,B1,7,2,16,Insecta,Hemiptera,Pentatomidae,NA,NA,,WM,5/5/21
2020,LG,B1,7,2,17,Insecta,Diptera,Agromyzidae,NA,NA,,WM,5/5/21
2020,LG,B1,7,2,18,Insecta,Diptera,Muscidae,NA,NA,,WM,5/5/21
2020,LG,B1,7,2,19,Insecta,Diptera,unknown,NA,NA,,WM,5/5/21
2020,LG,B1,7,2,20,Insecta,Hymenoptera,Formicidae,NA,NA,,WM,5/5/21
2020,LG,B1,7,2,21,Insecta,Hemiptera,Geocoridae,NA,NA,,WM,5/5/21
2020,LG,B1,8,3,1,Insecta,Orthoptera,Acrididae,Opeia,obscura,,WM,5/5/21
2020,LG,B1,8,3,2,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,WM,5/5/21
2020,LG,B1,8,3,3,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/5/21
2020,LG,B1,8,3,4,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/5/21
2020,LG,B1,8,3,5,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/5/21
2020,LG,B1,8,3,6,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/5/21
2020,LG,B1,8,3,7,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,WM,5/11/21
2020,LG,B1,8,3,8,Insecta,Orthoptera,Acrididae,Melanoplus,gladstoni,,WM,5/11/21
2020,LG,B1,8,3,9,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,5/5/21
2020,LG,B1,8,3,10,Arachnida,Araneae,Thomisidae,NA,NA,,WM,5/5/21
2020,LG,B1,8,3,NA,NA,NA,NA,NA,NA,Body Parts,WM,5/5/21
2020,LG,B1,8,3,11,Insecta,Diptera,Muscidae,NA,NA,,WM,5/5/21
2020,LG,B1,8,3,NA,NA,NA,NA,NA,NA,Body Parts,WM,5/5/21
2020,LG,B1,8,3,12,Insecta,Coleoptera,Curculionidae,NA,NA,,WM,5/5/21
2020,LG,B1,8,3,13,Insecta,Coleoptera,Latridiidae,NA,NA,,WM,5/5/21
2020,HG,B3,44,4,42,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,HG,B3,44,4,43,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,HG,B3,44,4,44,Insecta,Orthoptera,Acrididae,Melanoplus,gladstoni,,JB,2/26/21
2020,HG,B3,44,4,45,Insecta,Orthoptera,Acrididae,Melanoplus,gladstoni,,JB,2/26/21
2020,HG,B3,44,4,46,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,HG,B3,44,4,47,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,JB,2/26/21
2020,HG,B3,44,4,48,Insecta,Orthoptera,Acrididae,Agneotettix,deorum,,JB,2/26/21
2020,HG,B3,44,4,49,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,JB,2/26/21
2020,HG,B3,44,4,50,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,HG,B3,44,4,51,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,LG,B1,10,5,1,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/12/21
2020,LG,B1,10,5,2,Insecta,Hemiptera,Pentatomidae,NA,NA,,WM,5/12/21
