Year,Block,Grazing_Treatment,Plot,Sample,Order,Family,Genus,Species,Notes,IDer,Date Started,Date Completed
2022,1,NG,1,1,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,2,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,3,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,4,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,5,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,6,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,7,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,8,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,9,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,10,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,11,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,12,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,13,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,14,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,15,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,16,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,17,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,18,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,19,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,20,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,21,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,22,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,23,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,24,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,25,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,26,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,27,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,28,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,29,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,30,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,31,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,32,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,33,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,34,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,35,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,36,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,37,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,38,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,39,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,40,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,41,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,42,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,43,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,44,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,45,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,46,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,47,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,48,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,49,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,50,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,51,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,52,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,53,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,54,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,55,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,56,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
2022,1,NG,1,57,Hemiptera,Lygaeidae,N/A,N/A,,Kathryn Bloodworth,11/8/22,11/8/22
