"","Year","Block","Grazing_Treatment","Plot","Shannon","richness","Evar"
"1",2020,1,"NG",1,1.33379174675795,5,0.487864754584389
"2",2021,1,"NG",1,1.53414146394837,8,0.664180677080516
"3",2022,1,"NG",1,0.628239872043213,8,0.315967748548798
"4",2020,1,"NG",2,0.753442461180238,3,0.610064717964187
"5",2021,1,"NG",2,1.41051355711484,6,0.695878115697574
"6",2022,1,"NG",2,1.5507721843811,9,0.57246108157083
"7",2020,1,"NG",3,1.54030582522652,6,0.777471243001824
"8",2021,1,"NG",3,0.562335144618808,2,0.813438684067983
"9",2022,1,"NG",3,1.62286158813456,9,0.559211672422237
"10",2020,1,"NG",4,1.61705315250955,6,0.769495268570563
"11",2021,1,"NG",4,1.35923670066501,5,0.756625380337393
"12",2022,1,"NG",4,0.858611499653525,12,0.363488860359432
"13",2020,1,"NG",5,0.600166073159646,3,0.477637216909486
"14",2021,1,"NG",5,0.636514168294813,2,0.923898109345373
"15",2022,1,"NG",5,1.57721089753823,7,0.537877187648204
"16",2020,1,"LG",6,1.96523704938023,9,0.828715947089533
"17",2021,1,"LG",6,0.867563228481461,3,0.74304619350793
"18",2022,1,"LG",6,0.800406411745661,12,0.267408440110831
"19",2020,1,"LG",7,1.50478828368119,9,0.651366111877698
"20",2021,1,"LG",7,0.598269588585257,2,0.868287372473768
"21",2022,1,"LG",7,0.42937433418185,10,0.158615187072202
"22",2020,1,"LG",8,1.2852930241201,6,0.655693255635049
"23",2021,1,"LG",8,1.03972077083992,3,0.932286320469123
"24",2022,1,"LG",8,1.86977960287385,9,0.641890404824107
"25",2020,1,"LG",9,1.00271826451752,4,0.655046070723355
"26",2021,1,"LG",9,0.500402423538188,2,0.71486558333052
"27",2022,1,"LG",9,1.78731604248287,8,0.757591090240616
"28",2020,1,"LG",10,1.38629436111989,4,1
"29",2021,1,"LG",10,0.759547391474863,3,0.591406828967279
"30",2022,1,"LG",10,0.673610157195395,12,0.179606752636911
"31",2020,1,"HG",11,1.38629436111989,6,0.608077191745121
"32",2021,1,"HG",11,0.867563228481461,3,0.74304619350793
"33",2022,1,"HG",11,1.35923670066501,5,0.756625380337393
"34",2020,1,"HG",12,1.58109375017182,6,0.833945790235582
"35",2021,1,"HG",12,1.01140426470735,3,0.870814574607088
"36",2022,1,"HG",12,1.6812349878237,8,0.620596431334142
"37",2020,1,"HG",13,1.32851519120399,8,0.602913097233865
"38",2021,1,"HG",13,1.09861228866811,3,1
"39",2022,1,"HG",13,1.3896811919839,5,0.724879998347798
"40",2020,1,"HG",14,1.15374194270109,4,0.576763581119905
"41",2021,1,"HG",14,1.5498260458782,5,0.926914961609593
"42",2022,1,"HG",14,1.98882992551407,10,0.691197937225144
"43",2020,1,"HG",15,1.93380999892063,8,0.827940649977999
"44",2021,1,"HG",15,1.05492016798614,3,0.932286320469123
"45",2022,1,"HG",15,1.67458956699991,6,0.852197539174713
"46",2020,2,"NG",16,1.5121369765329,6,0.609160834553301
"47",2021,2,"NG",16,0.759547391474863,3,0.591406828967279
"48",2022,2,"NG",16,1.82031303094213,12,0.435854716593056
"49",2020,2,"NG",17,1.20136700426899,5,0.619581186581935
"50",2021,2,"NG",17,1.07907742476732,6,0.522256941109317
"51",2022,2,"NG",17,2.41019420936877,14,0.821964594003735
"52",2020,2,"NG",18,1.48612412879462,7,0.630231863834631
"53",2021,2,"NG",18,1.43068533608729,6,0.667896644801258
"54",2022,2,"NG",18,2.05734952269512,12,0.540327672512174
"55",2020,2,"NG",19,1.00597468454279,6,0.45523658843797
"56",2021,2,"NG",19,0.895332665968091,4,0.538902539155243
"57",2022,2,"NG",19,0.728728335194919,8,0.344735348214085
"58",2020,2,"NG",20,1.3879877765519,6,0.549179360226152
"59",2021,2,"NG",20,1.63923243281233,7,0.702479924056417
"60",2022,2,"NG",20,0.363860641330757,10,0.220714372274762
"61",2020,2,"LG",21,1.82171961662177,10,0.44799967001358
"62",2021,2,"LG",21,0.867563228481461,3,0.74304619350793
"63",2022,2,"LG",21,0.548004873121277,12,0.248097894948477
"64",2020,2,"LG",22,1.66746193342929,6,0.894265363294859
"65",2021,2,"LG",22,1.15374194270109,4,0.779821023557876
"66",2022,2,"LG",22,1.58103122629459,8,0.54611463681167
"67",2020,2,"LG",23,1.5193826646423,6,0.703444995118324
"68",2021,2,"LG",23,1.82007597536062,7,0.848252519065735
"69",2022,2,"LG",23,1.17355733076949,16,0.40581797374488
"70",2020,2,"LG",24,1.18947362932434,7,0.568283478198331
"71",2021,2,"LG",24,1.27703425946614,4,0.861411078153789
"72",2022,2,"LG",24,1.38725245803834,14,0.324261374674685
"73",2020,2,"LG",25,1.64539021044885,9,0.517994368971666
"74",2021,2,"LG",25,1.6094379124341,6,0.826041270861368
"75",2022,2,"LG",25,1.52242218389016,13,0.257874389916313
"76",2020,2,"HG",26,1.84622021932163,7,0.884355949640947
"77",2021,2,"HG",26,0.636514168294813,2,0.923898109345373
"78",2022,2,"HG",26,1.4775069278707,11,0.477765466601593
"79",2020,2,"HG",27,0.683738905848754,3,0.554675089979336
"80",2021,2,"HG",27,1.37781950803903,5,0.722437270263648
"81",2022,2,"HG",27,0.610146152845722,10,0.241542269705192
"82",2020,2,"HG",28,1.13331807430902,6,0.456319001732027
"83",2021,2,"HG",28,0.636514168294813,2,0.923898109345373
"84",2022,2,"HG",28,1.07177900095883,7,0.360212649547781
"85",2020,2,"HG",29,1.09861228866811,5,0.614694298969584
"86",2021,2,"HG",29,1.33217904021012,4,0.942804531917229
"87",2022,2,"HG",29,0.944124314288148,10,0.361442428432277
"88",2020,2,"HG",30,1.18907641844168,5,0.487184503232967
"89",2021,2,"HG",30,0,1,NA
"90",2022,2,"HG",30,0.866131907090133,9,0.30313537638536
"91",2020,3,"NG",31,1.16426698810164,7,0.449609594188766
"92",2021,3,"NG",31,0.562335144618808,2,0.813438684067983
"93",2022,3,"NG",31,1.89468911715399,9,0.764553210497491
"94",2020,3,"NG",32,1.73798344858705,8,0.785021131430425
"95",2021,3,"NG",32,1.15374194270109,4,0.779821023557876
"96",2022,3,"NG",32,1.89903904681626,12,0.647090446024093
"97",2020,3,"NG",33,1.58902691517397,7,0.761552131932607
"98",2021,3,"NG",33,0.562335144618808,2,0.813438684067983
"99",2022,3,"NG",33,1.80632312208742,10,0.498617858379689
"100",2020,3,"NG",34,1.242453324894,4,0.858317568199925
"101",2021,3,"NG",34,0.683738905848754,3,0.554675089979336
"102",2022,3,"NG",34,0.738755943905132,11,0.319167260976041
"103",2020,3,"NG",35,1.48491257281674,8,0.492968447952216
"104",2021,3,"NG",35,0,1,NA
"105",2022,3,"NG",35,1.09982291149011,8,0.31259768553109
"106",2020,3,"LG",36,1.54815599700551,6,0.608755737729993
"107",2021,3,"LG",36,0.735621939758795,3,0.605500876228763
"108",2022,3,"LG",36,1.73475041723154,8,0.631848805970783
"109",2020,3,"LG",37,1.38629436111989,5,0.810087380376606
"110",2021,3,"LG",37,1.15374194270109,4,0.779821023557876
"111",2022,3,"LG",37,0.504993511478314,7,0.212826159098994
"112",2020,3,"LG",38,1.22587767032532,7,0.355726139809119
"113",2021,3,"LG",38,0.562335144618808,2,0.813438684067983
"114",2022,3,"LG",38,0.637840320333841,12,0.256828560286531
"115",2020,3,"LG",39,1.4205719259467,6,0.732982505538425
"116",2021,3,"LG",39,0.636514168294813,2,0.923898109345373
