"","Year","Grazing_Treatment","Block","Plot","Sample","Order","Family"
"1",2020,"NG","1",1,"1","Orthoptera","Acrididae"
"2",2020,"NG","1",1,"2","Orthoptera","Acrididae"
"3",2020,"NG","1",1,"3","Orthoptera","Acrididae"
"4",2020,"NG","1",1,"4","Orthoptera","Acrididae"
"5",2020,"NG","1",1,"5","Orthoptera","Acrididae"
"6",2020,"NG","1",1,"6","Orthoptera","Acrididae"
"7",2020,"NG","1",1,"7","Orthoptera","Acrididae"
"8",2020,"NG","1",1,"8","Orthoptera","Acrididae"
"9",2020,"NG","1",1,"9","Orthoptera","Acrididae"
"10",2020,"NG","1",1,"10","Hemiptera","Cicadellidae"
"11",2020,"NG","1",1,"11","Hemiptera","Cicadellidae"
"12",2020,"NG","1",1,"12","Hemiptera","Cicadellidae"
"13",2020,"NG","1",1,"13","Hemiptera","Cicadellidae"
"14",2020,"NG","1",1,"14","Hemiptera","Cicadellidae"
"15",2020,"NG","1",1,"15","Coleoptera","Chrysomelidae"
"16",2020,"NG","1",1,"16","Hemiptera","Cicadellidae"
"17",2020,"NG","1",1,"17","Coleoptera","Staphylinidae"
"18",2020,"NG","1",1,"18","Coleoptera","Staphylinidae"
"19",2020,"NG","1",1,"19","Coleoptera","Staphylinidae"
"20",2020,"NG","1",1,"20","Coleoptera","Staphylinidae"
"21",2020,"NG","1",1,"21","Coleoptera","Staphylinidae"
"22",2020,"NG","1",1,"22","Coleoptera","Staphylinidae"
"23",2020,"NG","1",1,"23","Coleoptera","Staphylinidae"
"24",2020,"NG","1",1,"24","Hemiptera","Cicadellidae"
"25",2020,"NG","1",1,"25","Hymenoptera","Platygastridae"
"26",2020,"NG","1",1,"26","Hemiptera","Cicadellidae"
"27",2020,"NG","1",2,"1","Orthoptera","Acrididae"
"28",2020,"NG","1",2,"2","Orthoptera","Acrididae"
"29",2020,"NG","1",2,"3","Orthoptera","Acrididae"
"30",2020,"NG","1",2,"4","Hemiptera","Cicadellidae"
"31",2020,"NG","1",2,"5","Hemiptera","Cicadellidae"
"32",2020,"NG","1",2,"6","Hemiptera","Cicadellidae"
"33",2020,"NG","1",2,"7","Hemiptera","Cicadellidae"
"34",2020,"NG","1",2,"8","Hemiptera","Cicadellidae"
"35",2020,"NG","1",2,"9","Hemiptera","Cicadellidae"
"36",2020,"NG","1",2,"10","Hemiptera","Cicadellidae"
"37",2020,"NG","1",2,"11","Hemiptera","Cicadellidae"
"38",2020,"NG","1",2,"12","Hemiptera","Cicadellidae"
"39",2020,"NG","1",2,"13","Hemiptera","Cicadellidae"
"40",2020,"NG","1",2,"14","Hemiptera","Cicadellidae"
"41",2020,"NG","1",2,"15","Hemiptera","Cicadellidae"
"42",2020,"NG","1",2,"16","Hemiptera","Cicadellidae"
"43",2020,"NG","1",2,"18","Coleoptera","Chrysomelidae"
"44",2020,"NG","1",2,"19","Coleoptera","Chrysomelidae"
"45",2020,"NG","1",2,"17","Hemiptera","Cicadellidae"
"46",2020,"NG","1",3,"9","Coleoptera","Chrysomelidae"
"47",2020,"NG","1",3,"1","Araneae","Thomisidae"
"48",2020,"NG","1",3,"8","Hemiptera","Cicadellidae"
"49",2020,"NG","1",3,"2","Araneae","Thomisidae"
"50",2020,"NG","1",3,"7","Hymenoptera","Platygastridae"
"51",2020,"NG","1",3,"3","Orthoptera","Acrididae"
"52",2020,"NG","1",3,"6","Diptera","Agromyzidae"
"53",2020,"NG","1",3,"4","Orthoptera","Acrididae"
"54",2020,"NG","1",3,"5a","Orthoptera","Acrididae"
